breed,color,countries,playfulness,activityLevel,friendliness,groomingLevel,vocality,traits,disorders,care,nutrition,behavior,training,grooming,image
Chartreux,Blue,France,moderate,moderate,Good with people,low,moderate,Hunter,Generally Healthy,Loves attention,Quality Adult Cat Food,Hunter-like traits,Quick learner,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Chartruese_body_6.jpg
Cornish Rex,Hairless,UK,high,high,Good with people,low,moderate,Active,Generally Healthy,Needs activity,high protein,Very Playful,Can Learn,Goom semi-weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/CornishRex_body_7.jpg
Devon Rex,White,UK,moderate,moderate,Good overall,low,moderate,Social,Generally Healthy,Needs activity,Quality Adult Cat Food,Social,Quick learner,Groom as needed,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/DevonRex_body_7.jpg
Egyption Mau,Silver,Egypt,high,high,Good overall,moderate,high,Playful,Generally Healthy,Needs activity,high protein,Hunter-like traits,Quick learner,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/EgyptianMau_body_7.jpg
European Burmese,Orange,Europe,moderate,moderate,Good with animals,moderate,moderate,Affectionate,Generally Healthy,Loves attention,Quality Adult Cat Food,Loyal,Can Learn,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/EuropeanBurmese_body_7.jpg
Exotic Shorthair,Black,USA,moderate,moderate,Average,moderate,moderate,Easygoing,Polycystic Kidney Disease,Loves attention,Quality Adult Cat Food,Affectionate,Can Learn,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Exotic_body_6.jpg
Havana Brown,Brown,Cuba,moderate,moderate,Good with people,moderate,moderate,Social,Generally Healthy,Loves attention,Quality Adult Cat Food,Social,Quick learner,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/HavanaBrown_body_6.jpg
Himalayan,White,Himalayas,low,low,Average,high,low,Mild-tempered,Breathing Difficulties,Independent,Hairball Control,Independent,Not well,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Himilayan_body_6.jpg
Japanese Bobtail,White,Japan,moderate,moderate,Good with kids,moderate,moderate,Mischevious,Generally Healthy,Loves attention,Quality Adult Cat Food,Social,Quick learner,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/JapaneseBobtailSHOddEyed_body_6.jpg
Korat,White,Thailand,high,high,Good with kids,moderate,moderate,Affectionate,Generally Healthy,Loves attention,Quality Adult Cat Food,Skittish,Not well,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Korat_body_6.jpg
LaPerm,White,France,low,low,Good with people,moderate,moderate,Affectionate,Generally Healthy,Loves attention,Quality Adult Cat Food,Social,Not well,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/LaPerm_body_6.jpg
Maine Coon,Brown,USA,moderate,low,Good overall,high,moderate,Large,Generally Healthy,Loves attention,high protein,Curious,Not well,Groom as needed,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/MaineCoon_body_7.jpg
Manx,Grey,UK,moderate,moderate,Good overall,high,moderate,No Tail,Generally Healthy,Loves attention,Quality Adult Cat Food,Great Companion,Can Learn,Groom as needed,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/ManxSH_body_6.jpg
Munchkin,Brown,USA,high,moderate,Good overall,moderate,moderate,Short Legs,Osteoarthritis,May need some help getting to high places,Quality Adult Cat Food,Very Playful,Not well,Groom as needed,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Munchkin.jpg
Norwegian Forest,White,Norway,low,low,Average,high,low,Large,Glycogen Storage Disease IV,Independent,Quality Adult Cat Food,Gentle Giant,Not well,Groom as needed,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/NorwegianForestCat_body_6.jpg
Ocicat,Chocolate,Africa,moderate,moderate,Good with animals,low,low,Only Spotted Domestic Breed,Generally Healthy,Average,Quality Adult Cat Food,Social,Quick learner,Groom weekly,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/Ocitcat_body_6.jpg
Oriental,Chestnut,Asia,high,high,Average,low,high,Playful,Generally Healthy,Needs activity,Quality Adult Cat Food,Very Playful,Quick learner,Groom as needed,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/OrientalSH_body_6.jpg
Persian,White,Persia,low,low,Average,high,low,Independent,Ocular and Respiratory issues,Independent,Hairball Control,Independent,Not well,Groom as needed,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/PersianSolid_body_6.jpg
Scottish Fold,Brown,Scotland,moderate,moderate,Good overall,moderate,moderate,Folded Ears,Degenerative Join Disease,Loves attention,Quality Adult Cat Food,Intelligent,Quick learner,Groom as needed,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/SchottishFoldLH_body_7.jpg
